# Bopomofo
14-246-3	310C-3127-3120-0020
14-246-4	310C-3127-3120-02C7
14-246-2	310C-3127-3120-02CA
14-246-5	310C-3127-3120-02CB
14-234-3	310C-3127-3121-0020
14-234-4	310C-3127-3121-02C7
14-234-2	310C-3127-3121-02CA
14-234-5	310C-3127-3121-02CB
14-2345-4	310C-3127-3122-02C7
14-2345-2	310C-3127-3122-02CA
14-2345-5	310C-3127-3122-02CB
14-1456-3	310C-3127-3123-0020
14-1456-4	310C-3127-3123-02C7
14-1456-2	310C-3127-3123-02CA
14-1456-5	310C-3127-3123-02CB
14-46-4	310C-3127-3124-02C7
14-46-2	310C-3127-3124-02CA
14-46-5	310C-3127-3124-02CB
14-13456-3	310C-3127-3125-0020
14-13456-4	310C-3127-3125-02C7
14-13456-2	310C-3127-3125-02CA
14-13456-5	310C-3127-3125-02CB
14-34-3	310C-3128-0020
14-34-4	310C-3128-02C7
14-34-2	310C-3128-02CA
14-34-5	310C-3128-02CB
14-34-1	310C-3128-02D9
14-25-3	310C-3128-311B-0020
14-25-4	310C-3128-311B-02C7
14-25-2	310C-3128-311B-02CA
14-25-5	310C-3128-311B-02CB
14-25-1	310C-3128-311B-02D9
14-12456-4	310C-3128-3122-02C7
14-12456-2	310C-3128-3122-02CA
14-12456-5	310C-3128-3122-02CB
14-123456-3	310C-3128-3123-0020
14-123456-4	310C-3128-3123-02C7
14-123456-2	310C-3128-3123-02CA
14-123456-5	310C-3128-3123-02CB
14-12346-3	310C-3128-3125-0020
14-12346-4	310C-3128-3125-02C7
14-12346-2	310C-3128-3125-02CA
14-12346-5	310C-3128-3125-02CB
14-1256-4	310C-3129-02C7
14-1256-2	310C-3129-02CA
14-1256-5	310C-3129-02CB
14-236-5	310C-3129-311D-02CB
14-45-4	310C-3129-3122-02C7
14-45-2	310C-3129-3122-02CA
13-345-3	310D-311A-0020
13-345-2	310D-311A-02CA
13-345-5	310D-311A-02CB
13-345-1	310D-311A-02D9
13-2346-3	310D-311C-0020
13-2346-4	310D-311C-02C7
13-2346-2	310D-311C-02CA
13-2346-5	310D-311C-02CB
13-2346-1	310D-311C-02D9
13-2456-3	310D-311E-0020
13-2456-4	310D-311E-02C7
13-2456-5	310D-311E-02CB
13-356-4	310D-311F-02C7
13-146-3	310D-3120-0020
13-146-4	310D-3120-02C7
13-146-5	310D-3120-02CB
13-12356-3	310D-3121-0020
13-12356-4	310D-3121-02C7
13-12356-5	310D-3121-02CB
13-1236-3	310D-3122-0020
13-1236-4	310D-3122-02C7
13-1236-5	310D-3122-02CB
13-136-3	310D-3123-0020
13-136-4	310D-3123-02C7
13-136-2	310D-3123-02CA
13-136-5	310D-3123-02CB
13-1346-3	310D-3124-0020
13-1346-4	310D-3124-02C7
13-1346-5	310D-3124-02CB
13-1356-3	310D-3125-0020
13-1356-4	310D-3125-02C7
13-1356-5	310D-3125-02CB
13-34-3	310D-3128-0020
13-34-4	310D-3128-02C7
13-34-2	310D-3128-02CA
13-34-5	310D-3128-02CB
13-34-1	310D-3128-02D9
13-35-3	310D-3128-311A-0020
13-35-4	310D-3128-311A-02C7
13-35-5	310D-3128-311A-02CB
13-25-3	310D-3128-311B-0020
13-25-4	310D-3128-311B-02C7
13-25-2	310D-3128-311B-02CA
13-25-5	310D-3128-311B-02CB
13-2356-3	310D-3128-311E-0020
13-2356-4	310D-3128-311E-02C7
13-2356-5	310D-3128-311E-02CB
13-1246-3	310D-3128-311F-0020
13-1246-4	310D-3128-311F-02C7
13-1246-5	310D-3128-311F-02CB
13-12456-3	310D-3128-3122-0020
13-12456-4	310D-3128-3122-02C7
13-12456-5	310D-3128-3122-02CB
13-123456-3	310D-3128-3123-0020
13-123456-4	310D-3128-3123-02C7
13-123456-5	310D-3128-3123-02CB
13-456-3	310D-3128-3124-0020
13-456-4	310D-3128-3124-02C7
13-456-5	310D-3128-3124-02CB
13-12346-3	310D-3128-3125-0020
13-12346-4	310D-3128-3125-02C7
13-12346-5	310D-3128-3125-02CB
123-345-3	310E-311A-0020
123-345-4	310E-311A-02C7
123-345-5	310E-311A-02CB
123-2346-3	310E-311C-0020
123-2346-4	310E-311C-02C7
123-2346-2	310E-311C-02CA
123-2346-5	310E-311C-02CB
123-2456-3	310E-311E-0020
123-2456-4	310E-311E-02C7
123-2456-5	310E-311E-02CB
123-146-3	310E-3120-0020
123-146-4	310E-3120-02C7
123-146-5	310E-3120-02CB
123-12356-3	310E-3121-0020
123-12356-4	310E-3121-02C7
123-12356-5	310E-3121-02CB
123-1236-3	310E-3122-0020
123-1236-4	310E-3122-02C7
123-1236-5	310E-3122-02CB
123-136-4	310E-3123-02C7
123-136-5	310E-3123-02CB
123-1346-3	310E-3124-0020
123-1346-4	310E-3124-02C7
123-1346-2	310E-3124-02CA
123-1346-5	310E-3124-02CB
123-1356-3	310E-3125-0020
123-1356-4	310E-3125-02C7
123-34-3	310E-3128-0020
123-34-4	310E-3128-02C7
123-34-5	310E-3128-02CB
123-35-3	310E-3128-311A-0020
123-35-4	310E-3128-311A-02C7
123-35-5	310E-3128-311A-02CB
123-25-4	310E-3128-311B-02C7
123-25-5	310E-3128-311B-02CB
123-2356-3	310E-3128-311E-0020
123-2356-4	310E-3128-311E-02C7
